Radetiketter;Andra företagstjänster ;Anläggningar för avfallshantering och återvinning m.m.;Banker och andra kreditinstitut;Byggindustri;Civila myndigheter och försvaret ;Detaljhandel;El-, gas - och värmeverk;Enheter för hälso- och sjukvård;Enheter för kultur, nöje och fritid;Enheter för öppna sociala insatser;Fastighetsbolag o.d. ;Forsknings- och utvecklingsinstitutioner;Företag inom arbetsförmedling och bemanning;Företagskonsulter ;"Förlag; film-, radio- och TV-bolag m.m.";Försäkringsbolag o.d.;Grafisk industri;Gummi- och plastvaruindustri;Handel med motorfordon;Hotell och restauranger;Jord- och stenvaruindustri;Jordbruk, skogsbruk och fiske;Juridiska och ekonomiska konsulter;Kemisk industri;Livsmedelsindustri;Läkemedelsindustri;Maskinindustri ;Massa- och pappersindustri;Metallindustri;Okänt;Parti- och provisionshandel;Personliga tjänster och annan service;Petroleumraffinaderier m.m.;Post- och kurirföretag;Programvaruproducenter och datakonsulter m.m.;Reklambyråer o.d.;Reparationsverkstäder ;Resebyråer, bevakningstjänst, fastighetsservice  o.d.;Serviceföretag till bank och försäkring ;Stål- och metallverk;Tekniska konsulter;Telekommunikationsbolag;Textil- och beklädnadsindustri;Transport- och magasineringsföretag;Transportmedelsindustri;Trävaruindustri;Utbildningsväsendet;Uthyrningsfirmor;Utvinningsindustri;Vatten- och reningsverk;Vårdhem och bostäder med omsorg ;Övrig industri;Totalsumma
Andra företagstjänster ;26976;0;39;142;243;379;12;141;229;156;93;40;226;266;213;23;35;0;52;198;0;58;102;0;33;0;35;0;14;62;318;119;;14;270;197;0;125;32;0;251;17;16;126;49;13;436;24;;0;111;22;31907
Anläggningar för avfallshantering och återvinning m.m.;0;12101;0;336;166;37;57;17;16;20;35;0;88;27;12;0;0;12;97;25;17;40;0;17;18;0;23;11;25;0;117;29;0;0;25;0;17;135;0;76;56;0;;424;12;15;39;17;0;88;17;0;14264
Banker och andra kreditinstitut;44;11;47562;114;374;224;23;60;85;63;207;35;271;411;94;369;0;0;66;87;0;45;284;0;21;0;28;11;17;48;200;80;0;0;489;47;0;318;506;13;65;37;0;94;44;0;183;24;0;0;36;0;52690
Byggindustri;138;280;74;297158;1185;1034;366;195;415;456;1415;30;1612;444;73;44;16;85;565;526;387;768;244;70;178;14;499;106;801;245;1601;400;18;118;280;62;375;1705;27;142;2406;178;20;1929;239;479;934;446;211;179;285;155;321612
Civila myndigheter och försvaret ;229;86;280;856;248424;505;148;2330;878;3157;770;161;813;530;152;154;0;23;131;311;32;249;676;26;70;11;170;45;80;480;361;1112;13;52;678;62;33;804;66;31;682;55;14;529;127;47;3821;87;23;83;1785;34;272276
Detaljhandel;559;93;615;1902;1529;222380;102;1222;1346;1783;846;79;3517;963;496;354;78;110;914;2672;100;336;571;107;846;62;448;108;307;408;4797;1273;0;336;1068;477;112;1799;201;92;568;294;99;1632;336;149;3898;233;50;27;866;242;263402
El-, gas - och värmeverk;0;59;16;353;197;44;23982;15;20;21;69;17;72;67;17;16;0;0;15;20;0;34;23;14;18;0;44;28;14;12;79;26;12;0;98;0;18;44;0;14;252;45;;59;30;15;50;0;0;55;0;0;25984
Enheter för hälso- och sjukvård;128;16;42;256;2888;499;17;274590;263;2237;242;125;1399;308;77;38;12;16;51;307;14;94;89;36;57;38;72;20;32;216;333;412;0;32;220;35;0;346;45;16;145;22;0;293;42;11;1951;20;0;0;2248;99;290449
Enheter för kultur, nöje och fritid;194;29;112;520;1112;1394;36;341;66195;680;278;29;714;400;501;51;20;25;134;1135;16;202;154;21;115;0;93;23;73;201;450;601;;102;276;155;22;627;42;36;178;45;18;401;88;40;2405;66;0;13;342;46;80751
Enheter för öppna sociala insatser;159;63;102;767;6024;1822;32;3753;683;170637;277;20;1446;346;135;55;27;54;213;1097;29;234;153;29;219;17;160;54;148;1046;458;907;0;187;213;79;45;1143;40;57;167;39;21;840;145;71;5772;48;19;16;13334;58;213460
Fastighetsbolag o.d. ;87;19;157;1313;745;421;49;166;210;210;57581;24;393;373;77;44;0;18;118;317;18;155;237;15;63;0;76;18;57;120;349;219;0;27;158;54;46;541;49;17;331;19;17;247;57;45;481;40;0;22;169;23;65992
