Data;Byggindustri                            ;Civila myndigheter och försvaret        ;Enheter för vård och omsorg             ;Fastighetsbolag                         ;Företag inom energi och miljö           ;Företagstjänster                        ;Handel                                  ;Hotell och restauranger                 ;Informations- och kommunikationsföretag ;Jordbruk, skogsbruk och fiske           ;Kreditinstitut och försäkringsbolag     ;Okänt                                   ;Personliga och kulturella tjänster m.m. ;Tillverknings- och utvinningsindustri   ;Transportföretag                        ;Utbildningsväsendet                     ;Grand Total
Sum of 2000;229819,2132;215936,1239;604092,0504;54560,01393;36705,70427;363584,0106;486721,8688;103323,294;164441,7242;72655,62104;85567,17466;83050;157027,9887;738589,9221;225903,8798;429891,4106;4051870
Sum of 2001;237645,8113;220828,9371;627062,4719;54069,87071;36028,89069;378672,4584;482831,6543;101965,1894;169195,14;70666,5581;85620,76783;78865;161586,6524;721127,5944;224904,8826;440007,1209;4091079
Sum of 2002;239672,6595;230464,5849;662763,3801;57419,89693;41873,39896;363031,8513;494065,1688;101926,1854;162223,7047;69411,20172;88932,40122;80257;170210,0148;718426,8082;225013,6931;430006,0502;4135698
Sum of 2003;235993,773;231408,6788;669915,8426;56803,46691;45570,40666;356870,4845;495352,3818;103736,1488;154066,3446;67132,71424;85951,17011;61471;169180,6424;699737,2878;219375,6185;430817,0392;4083383
Sum of 2004;240686,5654;237106,4875;678937,0305;61615,04459;46557,43094;369400,6252;510510,4192;110588,1014;155330,452;72772,87048;84895,15133;64921;180059,5767;693100,8856;220391,0362;435624,3229;4162497
Sum of 2005;251112,5666;237459,8365;681967,4664;62453,39735;47009,10032;374447,4432;515066,9046;110383,361;159412,0005;74780,39367;84676,91603;54674;181783,0923;678098,6062;219736,2554;442002,6599;4175064
Sum of 2006;267123,629;246555,561;698673,0793;63932,88819;47449,43475;404969,6305;526115,2679;114842,5451;161790,0138;73619,41835;87666,15098;52794;185877,8322;678799,9857;220330,9402;450227,623;4280768
Sum of 2007;285075,8868;246200,8299;708273,5021;66049,88404;48448,97776;432543,6009;541847,4776;125142,7688;166849,6752;72380,87932;89992,93942;51589;186626,2268;689064,084;227242,0616;453231,2058;4390559
Sum of 2008;293637;239555;704889;65950;44406;470817;546439;128393;168863;74307;91135;50674;184725;664923;227321;450755;4406789
Sum of 2009;288532;240410;700182;66512;44775;457696;529618;129816;165920;76198;88887;45895;187024;595211;218587;445480;4280743
Sum of 2010;300647;246125;714597;67193;45114;479953;546433;139040;166111;80001;89789;47591;190871;595113;222647;461495;4392720
