"Yrke (SSYK 2012)","2014","2015","2016","2017","2018"
"011",875,1550,1367,1192,1116
"021",2173,1344,1133,916,828
"031",7387,6811,6349,6169,5849
"111",3876,3676,3889,3921,3028
"112",22860,23000,24598,22676,21895
"121",16630,16615,16864,18056,18302
"122",7684,7493,7876,8280,8876
"123",10208,10282,10816,11482,10864
"124",3319,3389,3789,4126,4418
"125",30741,31097,29866,31489,32321
"129",19059,19354,20973,21995,24002
"131",11758,12044,10801,11283,11522
"132",10087,10502,10954,11278,11454
"133",4999,5490,6232,6378,6334
"134",8423,8953,9858,10710,11584
"135",2863,3062,3742,3928,4026
"136",15933,16258,17035,18548,18401
"137",14998,15836,16575,16651,17013
"138",514,553,607,643,758
"141",9921,10016,10198,10548,10869
"142",4072,4195,4463,4541,4771
"149",795,879,1094,1218,1240
"151",10634,11005,11718,11933,12632
"152",3783,4071,4812,5127,5114
"153",9066,9278,9716,9796,9832
"154",780,753,708,669,612
"159",15956,16208,16208,17549,17310
"161",7180,7182,6203,5769,5588
"171",1251,1290,1471,1553,1512
"172",6461,6936,7460,7738,7811
"173",9659,9995,11092,10776,10567
"174",790,814,1304,1466,1500
"179",6319,6809,7020,7164,7243
"211",5860,6182,6301,6308,6415
"212",1717,1752,1929,2166,2282
"213",6466,6629,6585,6707,7044
"214",83636,85927,88418,94751,97891
"216",10012,10448,11405,12476,12049
"217",12416,12989,14227,15271,15391
"218",7128,7070,7643,8217,8710
"221",37242,37474,38873,39826,41314
"222",83460,82208,83956,84165,84060
"223",20933,20947,21623,21958,22043
"224",7972,8044,8588,8917,9165
"225",2100,2173,2308,2410,2536
"226",5641,5774,6081,6248,6390
"227",18903,18922,19896,20080,20449
"228",7909,8334,9730,10450,10697
"231",35501,35697,35359,35839,36446
"232",10261,10027,10093,10202,10159
"233",28602,28531,29858,29625,30313
"234",183152,183764,189597,191929,192557
"235",33313,34077,35506,36974,36817
"241",45439,46341,46540,48844,51028
"242",90289,93418,103534,108265,113928
"243",31743,32883,37141,36629,39171
"251",101543,104587,111725,118829,129323
"261",19601,19912,21037,21734,22687
"262",9854,9836,10496,10715,10924
"264",13590,13633,14173,15013,14763
"265",8435,8634,9150,9681,9927
"266",33112,34112,38285,40322,46363
"267",3917,3827,3795,3832,3743
"311",93243,93928,98649,102637,107702
"312",19003,19633,21382,23008,25192
"315",4970,4924,5295,5449,5342
"321",26210,26883,27193,26550,27132
"323",86,76,119,130,117
"324",1839,1977,2127,2466,2767
"325",3671,3700,3773,3783,3831
"331",56713,55560,56687,57590,57890
"332",136702,135499,134197,136544,137701
"333",31974,32477,36325,37695,32167
"334",9498,10180,11529,12553,17615
"335",44828,45789,47554,45312,44014
"336",16395,16152,15947,15853,16319
"341",18571,20355,25709,24543,21218
"342",20438,21529,23871,25072,27120
"343",6440,6992,7466,7123,7108
"344",5358,5602,6211,6619,6334
"345",3376,3414,3647,3809,4031
"351",45096,45384,46483,46927,46896
"352",3633,3717,3891,4086,4345
"411",172049,172547,174494,174212,171935
"421",1782,1809,1736,1954,2356
"422",53131,57965,62331,64669,65140
"432",87463,93448,93679,96346,101966
"441",3408,3419,3463,3321,3320
"442",18200,17897,16842,17090,17093
"443",548,536,869,968,962
"511",7975,7912,8050,8431,8788
"512",37220,39091,39641,41042,41600
"513",21491,23940,23619,25794,26254
"514",7154,8132,9692,9997,10672
"515",39417,41091,42803,43635,45555
"516",2522,2807,3309,3575,3975
"522",205147,221697,223919,224222,226353
"523",13567,14887,15101,15316,13400
"524",8201,8747,9241,9524,8637
"531",98543,106758,115195,122579,126842
"532",181670,184435,186915,186815,183057
"533",76879,79786,76546,78083,76698
"534",144685,153485,161192,159343,162602
"535",10192,10030,10308,10459,10509
"541",36272,36789,37697,38644,38724
"611",16517,17377,17675,18138,18381
"612",7063,7836,8068,8300,8465
"613",3612,4145,3946,3897,3687
"621",3466,3578,3590,3737,3644
"622",474,489,553,586,604
"711",93307,98581,100639,106208,108606
"712",34242,35470,35869,36659,37942
"713",23322,24133,24293,25458,26289
"721",25106,26408,26927,27140,27022
"722",53171,56707,59479,58119,52175
"723",54866,58769,58964,59391,62316
"731",3825,3840,4108,3901,4113
"732",8704,8613,8179,8046,7702
"741",39365,41083,41852,42712,43793
"742",9603,10255,10613,10439,10671
"752",10666,10960,11180,11269,11200
"753",2099,2244,2466,2401,2379
"761",7436,8131,8315,8609,8488
"811",8405,7306,8934,7694,8542
"812",15788,14057,14526,14606,17573
"813",5509,5513,5179,5194,5279
"814",13743,13640,13379,14010,14204
"815",5280,5389,5287,5463,5438
"816",15482,15400,15692,15171,15901
"817",16346,16796,16605,16398,16805
"818",8511,9038,8333,8791,7781
"819",18922,18939,19093,20287,19543
"821",53785,52317,49282,56305,61879
"831",5347,5339,5635,5618,5618
"832",18014,18389,18638,18899,18825
"833",78337,79782,80359,81267,81346
"834",33370,35201,34912,36019,37492
"835",1063,1078,1087,1433,1398
"911",70619,76003,75409,76708,78575
"912",3529,4075,5638,7056,7110
"921",2600,2905,3140,2920,3144
"931",5076,5932,6510,6642,7375
"932",12606,11737,11184,11656,11291
"933",6883,7261,7970,8355,10034
"941",68912,77998,77340,79024,79038
"952",121,142,149,157,190
"961",8379,8622,8875,8819,9000
"962",38426,38701,39224,39889,39719
"0002",286298,237953,232947,209917,198085
