"kvartal"	"Totalt Lediga jobb (KV)"	"Totalt Felmarginal (KV), lediga jobb"
"2001K1"	82893	4653
"2001K2"	71656	3919
"2001K3"	62719	3021
"2001K4"	56639	3226
"2002K1"	54882	3465
"2002K2"	62413	3914
"2002K3"	51821	3036
"2002K4"	47583	3002
"2003K1"	47744	3591
"2003K2"	54690	3262
"2003K3"	38454	2327
"2003K4"	36300	2012
"2004K1"	36292	2407
"2004K2"	41036	2232
"2004K3"	36715	2698
"2004K4"	36040	2063
"2005K1"	37510	2215
"2005K2"	45963	3058
"2005K3"	38187	2523
"2005K4"	45121	3003
"2006K1"	49486	4040
"2006K2"	47554	2681
"2006K3"	44060	2781
"2006K4"	45379	2453
"2007K1"	52874	2598
"2007K2"	61242	3981
"2007K3"	52125	4289
"2007K4"	52223	2796
"2008K1"	57170	3055
"2008K2"	55017	2774
"2008K3"	47653	3117
"2008K4"	35828	2496
"2009K1"	37991	2404
"2009K2"	36107	2573
"2009K3"	27605	2458
"2009K4"	32643	2800
"2010K1"	44142	2972
"2010K2"	56975	4248
"2010K3"	48501	4201
"2010K4"	50496	3493
"2011K1"	66247	4147
"2011K2"	78365	4482
"2011K3"	58345	3984
"2011K4"	55413	3194
"2012K1"	77402	4350
"2012K2"	79537	5543
"2012K3"	54729	3860
"2012K4"	52709	3697
"2013K1"	73501	3801
"2013K2"	71011	4403
"2013K3"	50665	3486
"2013K4"	56511	3661
"2014K1"	80131	4428
"2014K2"	81590	5189
"2014K3"	58693	3651
"2014K4"	62805	3082
"2015K1"	92324	4007
"2015K2"	90430	4908
"2015K3"	70964	4558
"2015K4"	81056	4127
"2016K1"	111752	4459
"2016K2"	107951	5181
"2016K3"	83466	4461
"2016K4"	92201	4634
"2017K1"	127413	5179
"2017K2"	120983	6297
"2017K3"	97724	4963
"2017K4"	101456	5198
"2018K1"	140586	7044
"2018K2"	133526	5256
"2018K3"	103403	5258
"2018K4"	103726	4771
"2019K1"	143769	5105
"2019K2"	136739	5458
"2019K3"	99187	5666
"2019K4"	96569	3962
