"GEO","TIME","S_ADJ","NACE_R1","SIZECLAS","INDIC_EM","Value","Flag and Footnotes"
"Sweden","2001Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","2.2",""
"Sweden","2001Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.9",""
"Sweden","2001Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.6",""
"Sweden","2001Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.5",""
"Sweden","2002Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.5",""
"Sweden","2002Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.7",""
"Sweden","2002Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.4",""
"Sweden","2002Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.2",""
"Sweden","2003Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.3",""
"Sweden","2003Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.4",""
"Sweden","2003Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1",""
"Sweden","2003Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.9",""
"Sweden","2004Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1",""
"Sweden","2004Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.1",""
"Sweden","2004Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.9",""
"Sweden","2004Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.9",""
"Sweden","2005Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1",""
"Sweden","2005Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.2",""
"Sweden","2005Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1",""
"Sweden","2005Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.2",""
"Sweden","2006Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.3",""
"Sweden","2006Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.2",""
"Sweden","2006Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.1",""
"Sweden","2006Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.1",""
"Sweden","2007Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.3",""
"Sweden","2007Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.5",""
"Sweden","2007Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.3",""
"Sweden","2007Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.3",""
"Sweden","2008Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.4",""
"Sweden","2008Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.3",""
"Sweden","2008Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","1.1",""
"Sweden","2008Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.9",""
"Sweden","2009Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.9",""
"Sweden","2009Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.9",""
"Sweden","2009Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.7",""
"Sweden","2009Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Total - all NACE activities","Total","Job vacancy rate","0.8",""
