"GEO","TIME","S_ADJ","NACE_R2","SIZECLAS","ISCO08","INDIC_EM","Value","Flag and Footnotes"
"Sweden","2001Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q1","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q2","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q3","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2001Q4","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q1","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q2","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q3","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
"Sweden","2002Q4","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate",":",""
