"TIME","GEO","S_ADJ","NACE_R2","SIZECLAS","INDIC_EM","Value"
"2001Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2001Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2001Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2001Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2002Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2002Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2002Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2002Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2003Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2003Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2003Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2003Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2004Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2004Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2004Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2004Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2005Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2005Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2005Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2005Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2006Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2006Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2006Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2006Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2007Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2007Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2007Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2007Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2008Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2008Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2008Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2008Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2009Q1","SE","SA","A-S","TOTAL","JOBRATE",":"
"2009Q2","SE","SA","A-S","TOTAL","JOBRATE",":"
"2009Q3","SE","SA","A-S","TOTAL","JOBRATE",":"
"2009Q4","SE","SA","A-S","TOTAL","JOBRATE",":"
"2010Q1","SE","SA","A-S","TOTAL","JOBRATE","0.9"
"2010Q2","SE","SA","A-S","TOTAL","JOBRATE","1.2"
"2010Q3","SE","SA","A-S","TOTAL","JOBRATE","1.4"
"2010Q4","SE","SA","A-S","TOTAL","JOBRATE","1.5"
"2011Q1","SE","SA","A-S","TOTAL","JOBRATE","1.4"
"2011Q2","SE","SA","A-S","TOTAL","JOBRATE","1.6"
"2011Q3","SE","SA","A-S","TOTAL","JOBRATE","1.6"
"2011Q4","SE","SA","A-S","TOTAL","JOBRATE","1.5"
"2012Q1","SE","SA","A-S","TOTAL","JOBRATE","1.6"
"2012Q2","SE","SA","A-S","TOTAL","JOBRATE","1.6"
"2012Q3","SE","SA","A-S","TOTAL","JOBRATE","1.5"
"2012Q4","SE","SA","A-S","TOTAL","JOBRATE","1.5"
"2013Q1","SE","SA","A-S","TOTAL","JOBRATE","1.4"
"2013Q2","SE","SA","A-S","TOTAL","JOBRATE","1.4"
"2013Q3","SE","SA","A-S","TOTAL","JOBRATE","1.4"
"2013Q4","SE","SA","A-S","TOTAL","JOBRATE","1.5"
"2014Q1","SE","SA","A-S","TOTAL","JOBRATE","1.5"
"2014Q2","SE","SA","A-S","TOTAL","JOBRATE","1.6"
"2014Q3","SE","SA","A-S","TOTAL","JOBRATE","1.6"
"2014Q4","SE","SA","A-S","TOTAL","JOBRATE","1.7"
"2015Q1","SE","SA","A-S","TOTAL","JOBRATE","1.7"
"2015Q2","SE","SA","A-S","TOTAL","JOBRATE","1.8"
"2015Q3","SE","SA","A-S","TOTAL","JOBRATE","1.9"
"2015Q4","SE","SA","A-S","TOTAL","JOBRATE","2.0"
"2016Q1","SE","SA","A-S","TOTAL","JOBRATE","2.1"
"2016Q2","SE","SA","A-S","TOTAL","JOBRATE","2.1"
"2016Q3","SE","SA","A-S","TOTAL","JOBRATE","2.1"
"2016Q4","SE","SA","A-S","TOTAL","JOBRATE","2.3"
"2017Q1","SE","SA","A-S","TOTAL","JOBRATE","2.3"
"2017Q2","SE","SA","A-S","TOTAL","JOBRATE","2.3"
"2017Q3","SE","SA","A-S","TOTAL","JOBRATE","2.4"
"2017Q4","SE","SA","A-S","TOTAL","JOBRATE","2.4"
"2018Q1","SE","SA","A-S","TOTAL","JOBRATE","2.5"
"2018Q2","SE","SA","A-S","TOTAL","JOBRATE","2.5"
"2018Q3","SE","SA","A-S","TOTAL","JOBRATE","2.4"
"2018Q4","SE","SA","A-S","TOTAL","JOBRATE","2.4"
"2019Q1","SE","SA","A-S","TOTAL","JOBRATE","2.5"
"2019Q2","SE","SA","A-S","TOTAL","JOBRATE","2.5"
"2019Q3","SE","SA","A-S","TOTAL","JOBRATE","2.4"
"2019Q4","SE","SA","A-S","TOTAL","JOBRATE","2.3"
