"TIME","GEO","S_ADJ","NACE_R2","SIZECLAS","INDIC_EM","Value"
"2001Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2001Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2001Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2001Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2002Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2002Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2002Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2002Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2003Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2003Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2003Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2003Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2004Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2004Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2004Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2004Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2005Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2005Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2005Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2005Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2006Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2006Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2006Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2006Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2007Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2007Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2007Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2007Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2008Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2008Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2008Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2008Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2009Q1","SE","SA","A-S","TOTAL","JOBVAC",":"
"2009Q2","SE","SA","A-S","TOTAL","JOBVAC",":"
"2009Q3","SE","SA","A-S","TOTAL","JOBVAC",":"
"2009Q4","SE","SA","A-S","TOTAL","JOBVAC",":"
"2010Q1","SE","SA","A-S","TOTAL","JOBVAC","36 397"
"2010Q2","SE","SA","A-S","TOTAL","JOBVAC","47 211"
"2010Q3","SE","SA","A-S","TOTAL","JOBVAC","56 250"
"2010Q4","SE","SA","A-S","TOTAL","JOBVAC","60 801"
"2011Q1","SE","SA","A-S","TOTAL","JOBVAC","57 965"
"2011Q2","SE","SA","A-S","TOTAL","JOBVAC","67 697"
"2011Q3","SE","SA","A-S","TOTAL","JOBVAC","67 345"
"2011Q4","SE","SA","A-S","TOTAL","JOBVAC","66 162"
"2012Q1","SE","SA","A-S","TOTAL","JOBVAC","67 959"
"2012Q2","SE","SA","A-S","TOTAL","JOBVAC","68 238"
"2012Q3","SE","SA","A-S","TOTAL","JOBVAC","65 381"
"2012Q4","SE","SA","A-S","TOTAL","JOBVAC","63 731"
"2013Q1","SE","SA","A-S","TOTAL","JOBVAC","62 282"
"2013Q2","SE","SA","A-S","TOTAL","JOBVAC","59 771"
"2013Q3","SE","SA","A-S","TOTAL","JOBVAC","62 914"
"2013Q4","SE","SA","A-S","TOTAL","JOBVAC","67 580"
"2014Q1","SE","SA","A-S","TOTAL","JOBVAC","67 159"
"2014Q2","SE","SA","A-S","TOTAL","JOBVAC","70 487"
"2014Q3","SE","SA","A-S","TOTAL","JOBVAC","72 362"
"2014Q4","SE","SA","A-S","TOTAL","JOBVAC","74 293"
"2015Q1","SE","SA","A-S","TOTAL","JOBVAC","77 331"
"2015Q2","SE","SA","A-S","TOTAL","JOBVAC","79 527"
"2015Q3","SE","SA","A-S","TOTAL","JOBVAC","85 743"
"2015Q4","SE","SA","A-S","TOTAL","JOBVAC","93 461"
"2016Q1","SE","SA","A-S","TOTAL","JOBVAC","94 833"
"2016Q2","SE","SA","A-S","TOTAL","JOBVAC","96 723"
"2016Q3","SE","SA","A-S","TOTAL","JOBVAC","99 222"
"2016Q4","SE","SA","A-S","TOTAL","JOBVAC","106 103"
"2017Q1","SE","SA","A-S","TOTAL","JOBVAC","108 653"
"2017Q2","SE","SA","A-S","TOTAL","JOBVAC","109 047"
"2017Q3","SE","SA","A-S","TOTAL","JOBVAC","114 163"
"2017Q4","SE","SA","A-S","TOTAL","JOBVAC","117 227"
"2018Q1","SE","SA","A-S","TOTAL","JOBVAC","120 433"
"2018Q2","SE","SA","A-S","TOTAL","JOBVAC","120 305"
"2018Q3","SE","SA","A-S","TOTAL","JOBVAC","120 579"
"2018Q4","SE","SA","A-S","TOTAL","JOBVAC","121 131"
"2019Q1","SE","SA","A-S","TOTAL","JOBVAC","122 676"
"2019Q2","SE","SA","A-S","TOTAL","JOBVAC","122 367"
"2019Q3","SE","SA","A-S","TOTAL","JOBVAC","116 919"
"2019Q4","SE","SA","A-S","TOTAL","JOBVAC","115 020"
