111,112,121,122,123,124,125,129,131,132,133,134,135,136,137,138,141,142,149,151,152,153,154,159,161,171,172,173,174,179,211,212,213,214,216,217,218,221,222,223,224,225,226,227,228,231,232,233,234,235,241,242,243,251,261,262,264,265,266,267,311,312,315,321,323,324,325,331,332,333,334,335,336,341,342,343,344,345,351,352,411,421,422,432,441,442,443,511,512,513,514,515,516,522,523,524,531,532,533,534,535,541,611,612,613,621,622,711,712,713,721,722,723,731,732,741,742,752,753,761,811,812,813,814,815,816,817,818,819,821,831,832,833,834,835,911,912,921,931,932,933,941,952,961,962
0,13,11,2,2,1,17,7,4,3,2,6,0,2,10,0,3,0,1,7,3,2,0,5,1,1,3,1,1,8,3,1,5,43,3,5,4,12,38,12,3,2,2,10,5,15,2,13,79,18,22,48,17,45,14,3,4,2,21,2,51,7,1,9,0,1,2,28,62,16,10,17,4,6,19,1,5,1,17,1,63,1,29,46,1,6,0,5,13,11,4,18,1,88,7,4,50,67,34,72,10,19,10,3,1,2,2,56,15,15,10,16,26,2,0,13,5,6,3,6,5,7,2,10,4,6,6,3,8,24,2,9,40,18,1,31,1,1,1,5,6,30,0,4,21
9,65,42,18,29,6,96,71,40,32,23,33,10,40,50,0,38,11,2,33,16,25,1,38,13,5,22,29,4,23,13,6,23,254,28,47,19,101,195,56,36,7,15,49,37,87,18,78,514,94,165,319,109,321,56,32,32,17,131,7,277,52,15,75,0,10,11,155,362,80,63,92,45,60,84,21,18,9,102,10,446,9,191,270,11,45,2,33,123,75,25,114,5,573,41,30,365,466,179,455,23,102,50,19,9,12,6,292,102,75,81,127,177,10,23,114,33,31,6,35,33,56,19,47,17,45,45,30,51,164,12,51,213,109,4,193,13,9,19,33,36,212,0,23,110
22,131,96,46,67,24,214,157,88,70,38,67,20,117,94,4,76,27,7,75,34,66,4,110,51,9,42,66,8,42,41,12,41,546,74,111,42,243,473,126,68,11,29,137,63,217,60,188,1153,231,341,706,236,803,130,87,95,48,285,21,651,140,39,179,1,14,23,345,807,190,133,244,113,135,167,42,37,19,294,23,1040,12,403,623,19,107,10,57,279,152,59,274,10,1306,87,62,800,1045,438,998,48,216,121,44,22,24,5,636,237,159,176,310,382,25,46,252,82,69,11,67,64,133,40,86,29,107,92,63,107,385,34,111,488,236,9,486,43,18,51,79,71,452,1,50,230
24,191,154,99,107,45,291,203,115,101,41,95,28,163,147,9,108,34,15,102,47,103,5,164,66,10,48,100,8,63,59,17,56,799,123,158,64,339,726,198,85,17,56,195,87,323,94,264,1651,329,460,1062,335,1162,216,101,137,84,386,36,989,224,44,252,2,23,32,471,1182,283,165,375,152,159,218,63,60,29,452,40,1566,12,545,911,24,162,18,78,372,220,94,375,22,1927,110,81,1105,1549,665,1414,102,342,160,79,34,36,3,945,328,241,242,469,532,47,71,372,107,119,21,84,73,156,51,97,35,152,137,82,165,548,63,170,707,342,10,727,75,23,58,106,89,634,1,61,307
28,232,187,129,116,51,362,247,137,128,58,109,43,201,193,9,139,42,18,148,51,116,4,187,64,15,75,130,7,77,63,19,80,1034,146,167,91,467,924,245,101,26,72,214,123,404,119,316,2042,371,578,1361,418,1415,261,110,162,121,503,49,1193,260,50,305,1,26,35,612,1484,347,185,479,184,245,257,85,69,43,502,62,1944,26,687,1184,25,208,14,103,441,302,125,463,39,2492,132,85,1355,2012,822,1784,137,427,188,90,37,47,3,1201,409,294,281,567,671,47,81,479,114,132,26,100,76,171,58,119,48,188,186,78,221,638,75,216,871,416,11,850,86,40,60,136,107,810,2,81,403
46,274,206,116,101,60,401,312,155,161,79,141,52,251,241,6,135,56,14,173,58,132,4,228,63,18,102,144,13,88,83,22,84,1224,149,182,130,558,1104,280,107,36,69,243,143,459,142,394,2456,445,680,1503,488,1659,273,140,171,133,570,59,1375,293,73,370,0,26,58,786,1788,408,208,610,192,301,334,102,87,52,571,62,2198,27,862,1351,27,218,14,126,501,337,149,557,48,2927,170,99,1592,2339,987,2104,153,503,225,89,42,51,5,1433,465,337,336,645,779,51,90,539,141,132,25,110,99,201,72,185,69,212,229,82,268,761,82,240,985,462,12,979,83,44,77,159,140,998,3,102,506
51,311,246,115,126,71,426,336,141,187,94,162,58,291,290,10,150,63,15,156,60,149,3,247,71,23,126,158,25,101,84,31,78,1437,163,217,140,568,1236,311,121,38,91,278,146,525,140,437,2774,528,745,1614,579,1822,312,170,198,139,638,62,1522,333,82,386,0,42,68,840,2001,447,237,671,218,280,385,102,115,48,650,61,2414,29,944,1411,38,250,15,133,556,349,146,616,48,3256,207,115,1833,2575,1133,2384,156,568,245,102,44,53,7,1594,506,392,394,753,935,60,111,593,156,149,29,135,132,242,80,218,89,224,251,105,310,894,96,272,1114,522,18,1124,85,44,103,165,135,1118,3,109,551
46,328,265,126,156,72,508,359,166,186,100,179,54,297,272,15,192,62,19,169,68,146,8,251,84,26,142,138,32,97,98,50,100,1603,172,209,122,618,1288,357,131,44,111,312,171,579,150,464,2964,588,759,1738,649,1953,338,200,234,153,717,58,1577,363,77,405,0,45,65,863,2118,496,267,717,260,323,402,104,100,51,701,66,2605,45,940,1562,47,274,20,137,646,407,161,698,58,3537,203,134,1923,2770,1219,2537,155,616,294,118,43,57,13,1660,563,420,421,854,1046,55,117,697,160,166,32,127,137,289,77,223,97,229,259,110,314,956,98,312,1291,580,23,1200,96,49,121,183,129,1212,4,135,607
48,337,279,138,166,80,550,387,193,205,101,201,54,302,272,13,192,73,23,205,80,155,13,253,87,22,129,128,28,116,110,57,117,1594,177,209,138,660,1377,383,140,48,108,330,195,575,144,479,3078,652,821,1879,685,2125,359,204,229,159,726,62,1707,394,84,463,0,44,73,935,2228,516,281,784,281,344,443,117,89,69,740,61,2796,42,1047,1709,51,277,20,142,699,443,186,754,72,3721,188,152,2004,2985,1288,2651,177,675,318,143,63,50,12,1723,600,421,432,890,1042,60,128,757,168,194,31,134,133,293,86,230,88,243,273,120,329,971,97,302,1318,614,29,1277,113,47,134,175,169,1342,5,146,667
