,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_ny,gamma_u,timestep
0,1.9806265678112673,0.2683683179356745,2.2489948857469417,0.3451464016598836,2.172216802022734,0 days 00:00:48.253264000,0.015,0.008,0.004,0.05,3.1
1,1.9773183206451916,0.3214837037066562,2.298802024351848,0.4480689260357699,2.172216802022734,0 days 00:00:47.266911000,0.0175,0.008,0.004,0.05,3.1
2,1.9884282327883633,0.37425841461291504,2.3626866474012784,0.5647282599914609,2.172216802022734,0 days 00:00:46.467315000,0.02,0.008,0.004,0.05,3.1
3,2.015312807507869,0.42612417606941383,2.4414369835772827,0.6953443576239612,2.172216802022734,0 days 00:00:46.845198000,0.0225,0.008,0.004,0.05,3.1
4,2.2167207260587447,0.1727311088647003,2.389451834923445,0.38996614176541106,2.172216802022734,0 days 00:00:47.146820000,0.015,0.008,0.004,0.06,3.1
5,2.233907286800854,0.2257486276817333,2.459655914482587,0.513187740141585,2.172216802022734,0 days 00:00:46.775647000,0.0175,0.008,0.004,0.06,3.1
6,2.2547557536742455,0.28561781534123604,2.5403735690154816,0.6537745823339859,2.172216802022734,0 days 00:00:46.907448000,0.02,0.008,0.004,0.06,3.1
7,2.2795060633829274,0.35234484356610013,2.6318509069490275,0.8119789484923942,2.172216802022734,0 days 00:00:46.873188000,0.0225,0.008,0.004,0.06,3.1
8,2.6118129636552503,0.011136765517178869,2.6229497291724293,0.46186969266687516,2.172216802022734,0 days 00:00:46.801482000,0.015,0.008,0.004,0.075,3.1
9,2.717162627516239,0.03456021108508141,2.7517228386013204,0.614066247663671,2.172216802022734,0 days 00:00:47.201873000,0.0175,0.008,0.004,0.075,3.1
10,2.824634243443662,0.06793328797563163,2.892567531419294,0.7882840173721897,2.172216802022734,0 days 00:00:46.854541000,0.02,0.008,0.004,0.075,3.1
11,2.935916828657369,0.11050278085369286,3.046419609511062,0.9847055883420218,2.172216802022734,0 days 00:00:46.674981000,0.0225,0.008,0.004,0.075,3.1
12,2.657301062592113,0.0,2.657301062592113,0.485084260569379,2.172216802022734,0 days 00:00:47.030822000,0.015,0.008,0.004,0.08,3.1
13,2.806787864555897,0.005724569323243624,2.8125124338791405,0.6460202011796485,2.172216802022734,0 days 00:00:47.610565000,0.0175,0.008,0.004,0.08,3.1
14,2.9481991498947786,0.027128816887325158,2.9753279667821038,0.8302399816466953,2.172216802022734,0 days 00:00:47.213492000,0.02,0.008,0.004,0.08,3.1
15,3.0900155314669324,0.060030311549500656,3.150045843016433,1.0378593525431992,2.172216802022734,0 days 00:00:46.575420000,0.0225,0.008,0.004,0.08,3.1
16,2.4366880102167903,0.05640939811038193,2.493097408327172,0.37729000441481975,2.172216802022734,0 days 00:00:46.883301000,0.015,0.008,0.005,0.05,3.1
17,2.4897232339608477,0.08696667561653978,2.5766899095773876,0.4914397831711957,2.172216802022734,0 days 00:00:46.901616000,0.0175,0.008,0.005,0.05,3.1
18,2.5460671743975754,0.12355059143851925,2.6696177658360947,0.6209515552518787,2.172216802022734,0 days 00:00:46.909320000,0.02,0.008,0.005,0.05,3.1
19,2.6060318565605884,0.16610089961529728,2.7721327561758855,0.7660168537684476,2.172216802022734,0 days 00:00:46.811760000,0.0225,0.008,0.005,0.05,3.1
20,2.604986350353738,0.0,2.604986350353738,0.4327695483310037,2.172216802022734,0 days 00:00:47.347981000,0.015,0.008,0.005,0.06,3.1
21,2.742290096537512,0.0,2.742290096537512,0.5700732945147776,2.172216802022734,0 days 00:00:47.309184000,0.0175,0.008,0.005,0.06,3.1
22,2.8799535478056932,0.009364578978642252,2.8893181267843353,0.7264659037402448,2.172216802022734,0 days 00:00:47.795842000,0.02,0.008,0.005,0.06,3.1
23,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:47.172916000,0.0225,0.008,0.005,0.06,3.1
24,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:47.001344000,0.015,0.008,0.005,0.075,3.1
25,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:47.290640000,0.0175,0.008,0.005,0.075,3.1
26,3.0395750096985634,0.0,3.0395750096985634,0.8673582076758294,2.172216802022734,0 days 00:00:46.890497000,0.02,0.008,0.005,0.075,3.1
