,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
0,2.363889794316753,0.0,2.363889794316753,0.19167299229401913,2.172216802022734,0 days 00:00:58.085821000,0.01,0.008,0.004,0.02,3.1
1,2.5835738410085196,0.0,2.5835738410085196,0.4113570389857855,2.172216802022734,0 days 00:00:58.932577000,0.02,0.008,0.004,0.02,3.1
2,2.8563542354896008,0.0,2.8563542354896008,0.6841374334668665,2.172216802022734,0 days 00:01:00.880534000,0.03,0.008,0.004,0.02,3.1
3,3.182429547437483,0.0,3.182429547437483,1.0102127454147485,2.172216802022734,0 days 00:01:02.255127000,0.04,0.008,0.004,0.02,3.1
4,3.5620912551522883,0.0,3.5620912551522883,1.3898744531295542,2.172216802022734,0 days 00:01:00.038608000,0.05,0.008,0.004,0.02,3.1
5,2.3454203554097126,0.0,2.3454203554097126,0.17320355338697854,2.172216802022734,0 days 00:01:00.769333000,0.01,0.008,0.004,0.03,3.1
6,2.5971905384574643,0.002995503695766562,2.600186042153231,0.430964743826263,2.172216802022734,0 days 00:01:04.453570000,0.02,0.008,0.004,0.03,3.1
7,2.9209002717946295,0.02178874273560999,2.9426890145302393,0.7922609552431155,2.172216802022734,0 days 00:00:57.422778000,0.03,0.008,0.004,0.03,3.1
8,3.2820459981295884,0.07441180288777353,3.356457801017362,1.2586528018824015,2.172216802022734,0 days 00:00:57.759630000,0.04,0.008,0.004,0.03,3.1
9,3.6820633485334255,0.16103413024163002,3.8430974787750554,1.831914806993951,2.172216802022734,0 days 00:00:57.503604000,0.05,0.008,0.004,0.03,3.1
10,2.2734295919930365,0.03527033691526844,2.3086999289083048,0.17175346380084047,2.172216802022734,0 days 00:01:00.563654000,0.01,0.008,0.004,0.04,3.1
11,2.3724418179429403,0.14327709904585573,2.515718916988796,0.48677921401191837,2.172216802022734,0 days 00:00:58.695711000,0.02,0.008,0.004,0.04,3.1
12,2.5207940518055976,0.30733278286038845,2.8281268346659862,0.9632428155036425,2.172216802022734,0 days 00:00:57.837332000,0.03,0.008,0.004,0.04,3.1
13,2.8114560283439096,0.4831946203850625,3.294650648728972,1.6056284670913001,2.172216802022734,0 days 00:00:57.776976000,0.04,0.008,0.004,0.04,3.1
14,3.273284121758201,0.6588874633931754,3.9321715851513765,2.4188422465218182,2.172216802022734,0 days 00:00:58.811477000,0.05,0.008,0.004,0.04,3.1
15,2.0271420325514096,0.1626326018279149,2.1897746343793245,0.18019043418450661,2.172216802022734,0 days 00:00:58.307043000,0.01,0.008,0.004,0.05,3.1
16,1.9884282327883633,0.37425841461291504,2.3626866474012784,0.5647282599914609,2.172216802022734,0 days 00:00:57.828319000,0.02,0.008,0.004,0.05,3.1
17,2.1931367768491534,0.575398451001202,2.7685352278503554,1.1717168768288233,2.172216802022734,0 days 00:00:58.280029000,0.03,0.008,0.004,0.05,3.1
18,2.665598896819457,0.7576322488589237,3.423231145678381,2.0086465925145713,2.172216802022734,0 days 00:00:57.973633000,0.04,0.008,0.004,0.05,3.1
