SSYK 2012 kod;ISCO-08 ;Yrkesbenämning;;
0110;0110;Arméchef;;
0110;0110;Arméofficer;;
0110;0110;Flygofficer;;
0110;0110;Flygvapenchef;;
0110;0110;Fänrik, förvaret;;
0110;0110;General, försvaret;;
0110;0110;Generalmajor, försvaret;;
0110;0110;Kapten, försvaret;;
0110;0110;Kommendör;;
0110;0110;Kommendörkapten;;
0110;0110;Kompanichef;;
0110;0110;Konteramiral;;
0110;0110;Logistikofficer;;
0110;0110;Löjtnant, försvaret;;
0110;0110;Major, försvaret;;
0110;0110;Marinchef;;
0110;0110;Marinofficer;;
0110;0110;Officer, försvaret;;
0110;0110;Planeringsofficer;;
0110;0110;Plutonofficer;;
0110;0110;Reservofficer;;
0110;0110;Stabsofficer;;
0110;0110;Teknisk officer;;
0110;0110;Yrkesofficer;;
0110;0110;Örlogskapten;;
0110;0110;Överbefälhavare;;
0110;0110;Överste, försvaret;;
0110;0110;Överstelöjtnant, försvaret;;
0210;0210;Furir, försvaret;;
0210;0110;Specialistofficer, armen;;
0210;0110;Specialistofficer, flygvapnet;;
0210;0110;Specialistofficer, sjömän, marinen;;
0310;0310;Ammunitionsröjare;;
0310;0310;FN-soldat;;
0310;0310;Militär;;
0310;0310;Soldat, armen;;
0310;0310;Soldat, flygvapnet;;
0310;0310;Soldat, sjömän, marinen;;
0310;0310;Yrkesmilitär;;
1111;1111;Borgarråd;;
1111;1111;Departementschef;;
1111;1111;Finansråd;;
1111;1111;Kommunalpolitiker;;
1111;1111;Kommunalråd;;
1111;1111;Landstingspolitiker;;
1111;1111;Landstingsråd;;
1111;1111;Minister, statsråd;;
1111;1111;Politiker, högre;;
1111;1111;Regionpolitiker;;
1111;1111;Riksdagsledamot;;
1111;1111;Statsråd;;
1111;1111;Statssekreterare;;
1112;1112;Ambassadör;;
1112;1112;Barnombudsman, myndighet;;
1112;1112;Beskickningschef;;
1112;1112;Civilförsvarschef;;
1112;1112;Departementsråd;;
1112;1112;Direktör, myndighet;;
1112;1112;Diskrimineringsombudsman;;
1112;1112;Envoyé;;
1112;1112;Förvaltningsdirektör, staten;;
1112;1112;Generaldirektör, myndighet;;
1112;1112;Generalkonsul;;
1112;1112;Justitiekansler;;
1112;1112;Justitieombudsman;;
1112;1112;Kabinettsekreterare;;
1112;1112;Kassadirektör, försäkringskassa;;
1112;1112;Kommerseråd;;
1112;1112;Kommunaldirektör;;
1112;1112;Kommunchef;;
1112;1112;Kommundelschef;;
1112;1112;Kommundirektör;;
1112;1112;Konsumentombudsman;;
1112;1112;Kriminalvårdschef;;
1112;1112;Landshövding;;
1112;1112;Landstingsdirektör;;
1112;1112;Länspolischef;;
1112;1112;Länsråd;;
1112;1112;Länsskattechef;;
1112;1112;Länsöverdirektör;;
1112;1112;Näringsfrihetsombudsman;;
1112;1112;Regionkronodirektör;;
1112;1112;Riksantikvarie;;
1112;1112;Riksarkivarie;;
1112;1112;Riksbibliotekarie;;
1112;1112;Riksgäldsdirektör;;
1112;1112;Rikskronofogde;;
1112;1112;Rikspolischef;;
1112;1112;Sjukvårdsdirektör;;
1112;1112;Stadsdelsdirektör;;
1112;1112;Stadsdirektör;;
1112;1112;Statsheraldiker;;
