ssyk3,Computerisation Probability,swedish,english,2014,2015,2016,2017,2018,post-shock demand
111,0.1,Politiker och högre ämbetsmän,Politicians and higher officials,3876,3676,3889,3921,3028,4813
112,0.09,Verkställande direktörer m.fl.,Assorted Chief Officers,22860,23000,24598,22676,21895,35195
121,0.07,Ekonomi- och finanschefer,Chief Financial Officers,16630,16615,16864,18056,18302,30066
122,0.32,Personal- och HR-chefer,Personell and HR officers,7684,7493,7876,8280,8876,10661
123,0.42,Förvaltnings- och planeringschefer,Administration and planning managers,10208,10282,10816,11482,10864,11130
124,0.13,"Informations-, kommunikations- och PR-chefer","Information, communication and PR managers",3319,3389,3789,4126,4418,6789
125,0.12,Försäljnings- och marknadschefer,Sales and marketing managers,30741,31097,29866,31489,32321,50241
129,0.3,Övriga administrations- och servicechefer,Other administration and service managers,19059,19354,20973,21995,24002,29678
131,0.04,IT-chefer,Information technology managers,11758,12044,10801,11283,11522,19538
132,0.53,"Inköps-, logistik- och transportchefer","Purchasing, logistics and transport managers",10087,10502,10954,11278,11454,9509
133,0.02,Forsknings- och utvecklingschefer,R&D managers,4999,5490,6232,6378,6334,10964
134,0.25,Chefer inom arkitekt- och ingenjörsverksamhet,Architecture and engineering managers,8423,8953,9858,10710,11584,15346
135,0.35,Fastighets- och förvaltningschefer,Real estate and administration managers,2863,3062,3742,3928,4026,4622
136,0.16,"Driftchefer inom bygg, anläggning och gruva","Construction, plant and mine operational managers",15933,16258,17035,18548,18401,27303
137,0.03,Produktionschefer inom tillverkning,Production and manufacturing managers,14998,15836,16575,16651,17013,29150
138,0.68,Förvaltare inom skogsbruk och lantbruk m.fl.,Forestry and agriculture managers,514,553,607,643,758,428
141,0.01,Chefer inom grund- och gymnasieskola samt vuxenutbildning,"Managers in elementary, high-school and adult education",9921,10016,10198,10548,10869,19007
142,0.01,Chefer inom förskoleverksamhet,Managers in preschool activities,4072,4195,4463,4541,4771,8343
149,0.05,Övriga chefer inom utbildning,Other managers within education,795,879,1094,1218,1240,2080
151,0.01,Chefer inom hälso- och sjukvård,Healthcare managers'',10634,11005,11718,11933,12632,22090
152,0.01,Chefer inom socialt och kurativt arbete,Managers of social and curative work,3783,4071,4812,5127,5114,8943
153,0.08,Chefer inom äldreomsorg,Managers within elederly care,9066,9278,9716,9796,9832,15978
154,0.02,Chefer och ledare inom trossamfund,Managers and leaders of faith communities,780,753,708,669,612,1059
159,0.25,Övriga chefer inom samhällsservice,Other managers within societal services,15956,16208,16208,17549,17310,22932
161,0.11,"Chefer inom bank, finans och försäkring","Managers in banking, finance and insurance",7180,7182,6203,5769,5588,8785
171,0.0,Hotell- och konferenschefer,Hotel and conference managers,1251,1290,1471,1553,1512,2670
172,0.08,Restaurang- och kökschefer,Restaurant and kitchen managers,6461,6936,7460,7738,7811,12693
173,0.2,Chefer inom handel,Managers within trade,9659,9995,11092,10776,10567,14932
174,0.2,"Chefer inom friskvård, sport och fritid","Managers within wellnes, sport and leisure",790,814,1304,1466,1500,2119
179,0.17,Chefer inom övrig servicenäring,Other service managers,6319,6809,7020,7164,7243,10619
211,0.3,Fysiker och kemister m.fl.,"Physicists, chemists and similar",5860,6182,6301,6308,6415,7932
212,0.15,"Matematiker, aktuarier och statistiker","Mathematicians, actuaries and statisticians",1717,1752,1929,2166,2282,3426
213,0.13,"Biologer, farmakologer och specialister inom lant- och skogsbruk m.fl.","Biologists, pharmacologists and specialists within agriculture and forestry",6466,6629,6585,6707,7044,10825
214,0.07,Civilingenjörsyrken,Advanced engineering occupations,83636,85927,88418,94751,97891,160814
216,0.29,Arkitekter och lantmätare,Architects and surveyors,10012,10448,11405,12476,12049,15111
217,0.09,Designer och formgivare,Designers,12416,12989,14227,15271,15391,24740
