Rank;Probability;Label;SOC code;Occupation
1.;0.0028;;29-1125;Recreational therapists
2.;0.003;;49-1011;First-line supervisors of mechanics, installers, and repairers
3.;0.003;;11-9161;Emergency management directors
4.;0.0031;;21-1023;Mental health and substance abuse social workers
5.;0.0033;;29-1181;Audiologists
6.;0.0035;;29-1122;Occupational therapists
7.;0.0035;;29-2091;Orthotists and prosthetists
8.;0.0035;;21-1022;Healthcare social workers
9.;0.0036;;29-1022;Oral and maxillofacial surgeons
10.;0.0036;;33-1021;First-line supervisors of fire fighting and prevention workers
11.;0.0039;;29-1031;Dietitians and nutritionists
12.;0.0039;;11-9081;Lodging managers
13.;0.004;;27-2032;Choreographers
14.;0.0041;;41-9031;Sales engineers
15.;0.0042;0;29-1060;Physicians and surgeons
16.;0.0042;;25-9031;Instructional coordinators
17.;0.0043;;19-3039;Psychologists, all other
18.;0.0044;;33-1012;First-line supervisors of police and detectives
19.;0.0044;0;29-1021;Dentists, general
20.;0.0044;;25-2021;Elementary school teachers, except special education
21.;0.0045;;19-1042;Medical scientists, except epidemiologists
22.;0.0046;;11-9032;Education administrators, elementary and secondary school
23.;0.0046;;29-1081;Podiatrists
24.;0.0047;;19-3031;Clinical, counseling, and school psychologists
25.;0.0048;;21-1014;Mental health counselors
26.;0.0049;;51-6092;Fabric and apparel patternmakers
27.;0.0055;;27-1027;Set and exhibit designers
28.;0.0055;;11-3121;Human resources managers
29.;0.0061;;39-9032;Recreation workers
30.;0.0063;;11-3131;Training and development managers
31.;0.0064;;29-1127;Speech-language pathologists
32.;0.0065;;15-1121;Computer systems analysts
33.;0.0067;0;11-9151;Social and community service managers
34.;0.0068;;25-4012;Curators
35.;0.0071;;29-9091;Athletic trainers
36.;0.0073;;11-9111;Medical and health services managers
37.;0.0074;0;25-2011;Preschool reachers, except special education
38.;0.0075;;25-9021;Farm and home management advisors
39.;0.0077;;19-3091;Anthropologists and archeologists
40.;0.0077;;25-2054;Special education teachers, secondary school
41.;0.0078;;25-2031;Secondary school teachers, except special and career/technical education
42.;0.0081;0;21-2011;Clergy
43.;0.0081;;19-1032;Foresters
44.;0.0085;;21-1012;Educational, guidance, school, and vocational counselors
45.;0.0088;;25-2032;Career/technical education teachers, secondary school
46.;0.009;0;29-1141;Registered nurses
47.;0.0094;;21-1015;Rehabilitation counselors
48.;0.0095;;25-3999;Teachers and Instructors, all other
49.;0.0095;;19-4092;Forensic science technicians
50.;0.01;;39-5091;Makeup artists, theatrical and performance
51.;0.01;;17-2121;Marine engineers and naval architects
