"Alder"	"arbetskraftstillhorighet"	"kvartal"	"totalt Procent"	"totalt Felmarginal , procent"
"totalt 16-64 Ar"	"arbetslosa"	"1970Q1"	2.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1970Q2"	1.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1970Q3"	1.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1970Q4"	1.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1971Q1"	3.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1971Q2"	2.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1971Q3"	2.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1971Q4"	3.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1972Q1"	3.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1972Q2"	3.3	..
"totalt 16-64 Ar"	"arbetslosa"	"1972Q3"	3.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1972Q4"	3.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1973Q1"	3.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1973Q2"	3.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1973Q3"	2.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1973Q4"	2.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1974Q1"	3.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1974Q2"	2.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1974Q3"	2.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1974Q4"	2.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1975Q1"	2.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1975Q2"	2.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1975Q3"	1.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1975Q4"	2.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1976Q1"	2.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1976Q2"	1.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1976Q3"	1.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1976Q4"	1.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1977Q1"	2.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1977Q2"	2.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1977Q3"	2.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1977Q4"	2.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1978Q1"	3.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1978Q2"	2.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1978Q3"	2.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1978Q4"	2.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1979Q1"	3.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1979Q2"	2.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1979Q3"	2.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1979Q4"	2.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1980Q1"	2.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1980Q2"	2.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1980Q3"	2.3	..
"totalt 16-64 Ar"	"arbetslosa"	"1980Q4"	2.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1981Q1"	3.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1981Q2"	3.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1981Q3"	3.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1981Q4"	3.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1982Q1"	4.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1982Q2"	3.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1982Q3"	4.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1982Q4"	3.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1983Q1"	4.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1983Q2"	4.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1983Q3"	4.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1983Q4"	4.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1984Q1"	4.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1984Q2"	4.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1984Q3"	3.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1984Q4"	3.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1985Q1"	3.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1985Q2"	3.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1985Q3"	3.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1985Q4"	3.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1986Q1"	3.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1986Q2"	3.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1986Q3"	3.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1986Q4"	3.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1987Q1"	3.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1987Q2"	3.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1987Q3"	2.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1987Q4"	2.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1988Q1"	2.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1988Q2"	2.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1988Q3"	2.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1988Q4"	2.1	..
"totalt 16-64 Ar"	"arbetslosa"	"1989Q1"	2.3	..
"totalt 16-64 Ar"	"arbetslosa"	"1989Q2"	2.3	..
"totalt 16-64 Ar"	"arbetslosa"	"1989Q3"	2.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1989Q4"	2.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1990Q1"	2.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1990Q2"	2.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1990Q3"	2.3	..
"totalt 16-64 Ar"	"arbetslosa"	"1990Q4"	2.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1991Q1"	3.3	..
"totalt 16-64 Ar"	"arbetslosa"	"1991Q2"	3.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1991Q3"	4.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1991Q4"	4.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1992Q1"	5.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1992Q2"	6.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1992Q3"	6.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1992Q4"	7.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1993Q1"	9.0	..
"totalt 16-64 Ar"	"arbetslosa"	"1993Q2"	10.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1993Q3"	10.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1993Q4"	10.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1994Q1"	11.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1994Q2"	10.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1994Q3"	10.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1994Q4"	9.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1995Q1"	10.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1995Q2"	10.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1995Q3"	9.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1995Q4"	9.8	..
"totalt 16-64 Ar"	"arbetslosa"	"1996Q1"	10.4	..
"totalt 16-64 Ar"	"arbetslosa"	"1996Q2"	11.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1996Q3"	10.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1996Q4"	10.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1997Q1"	11.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1997Q2"	12.0	..
