111,112,121,122,123,124,125,129,131,132,133,134,135,136,137,138,141,142,149,151,152,153,154,159,161,171,172,173,174,179,211,212,213,214,216,217,218,221,222,223,224,225,226,227,228,231,232,233,234,235,241,242,243,251,261,262,264,265,266,267,311,312,315,321,324,325,331,332,333,334,335,336,341,342,343,344,345,351,352,411,421,422,432,441,442,443,511,512,513,514,515,516,522,523,524,531,532,533,534,535,541,611,612,613,621,711,712,713,721,722,723,731,732,741,742,752,753,761,811,812,813,814,815,816,817,818,819,821,831,832,833,834,835,911,912,921,931,932,933,941,961,962
42,266,180,76,108,28,341,247,129,117,85,102,47,193,195,11,145,49,16,126,48,109,10,192,67,19,80,142,28,88,77,23,75,1023,131,156,68,412,939,296,105,35,68,233,123,411,116,291,2137,413,545,1199,421,1283,246,105,156,109,424,56,1053,245,74,326,26,47,635,1608,393,135,541,169,288,275,74,62,34,538,43,1981,13,734,1078,31,224,8,86,481,303,101,465,40,2542,151,113,1303,2236,896,1858,136,394,199,107,47,42,1153,380,311,316,700,701,51,104,441,133,131,46,85,117,170,51,164,63,171,186,108,222,551,64,206,919,405,11,864,63,34,72,146,93,866,102,395
91,551,350,159,224,77,692,477,250,238,146,192,105,371,373,17,242,101,30,247,98,215,19,355,135,36,149,276,35,171,148,40,144,1941,260,313,132,853,1828,514,204,57,135,489,214,797,238,638,4177,778,1028,2322,810,2537,447,226,305,198,855,94,2101,478,127,627,47,83,1254,3060,791,266,1066,341,561,534,156,128,75,1037,98,3835,33,1402,2150,67,415,16,174,916,562,206,955,80,4900,331,193,2585,4348,1749,3563,249,793,406,191,91,86,2214,782,567,582,1359,1332,94,186,899,229,255,79,187,213,321,109,301,111,340,368,210,432,1082,121,397,1794,798,19,1612,129,80,148,288,180,1715,210,805
113,690,451,226,311,109,882,600,304,294,167,263,123,453,479,24,299,120,37,315,126,263,24,463,195,47,196,329,38,221,177,46,177,2415,332,371,184,1139,2301,616,243,73,173,587,248,969,300,823,5324,991,1302,2887,1039,3191,573,279,377,249,1119,115,2691,587,165,792,59,86,1591,3789,992,346,1360,413,703,706,177,178,99,1278,123,4835,50,1816,2712,92,501,24,230,1077,680,262,1231,101,6301,398,238,3292,5400,2235,4423,298,991,507,229,106,104,2866,1030,692,719,1686,1641,124,227,1152,263,313,91,229,254,408,140,386,139,471,489,237,495,1377,164,485,2225,1006,25,2036,152,90,198,342,239,2169,272,1087
142,827,543,271,362,130,1068,722,331,353,196,311,126,531,572,29,345,146,49,380,160,328,27,537,225,55,234,361,40,234,196,60,227,2910,415,455,227,1309,2798,707,276,96,198,680,302,1203,364,964,6349,1176,1517,3400,1220,3685,682,333,442,307,1330,127,3284,705,212,902,74,105,1878,4470,1199,418,1613,509,854,778,220,209,116,1522,159,5857,62,2205,3216,108,558,31,276,1319,784,310,1454,112,7390,488,283,3912,6335,2552,5233,359,1196,603,260,117,111,3396,1195,787,867,1953,1967,141,271,1341,346,376,97,264,282,465,156,454,189,540,554,279,612,1628,193,577,2710,1148,27,2494,184,108,244,409,270,2512,289,1281
147,927,626,314,406,148,1198,881,385,384,223,369,153,602,662,33,387,177,54,448,171,383,28,623,239,62,268,385,41,273,216,59,273,3319,451,530,245,1444,3174,816,336,104,235,783,360,1362,424,1107,7322,1332,1760,3900,1358,4179,742,399,508,345,1480,154,3740,819,237,1034,83,129,2177,5088,1423,498,1838,589,1011,897,248,231,129,1721,174,6649,65,2463,3640,125,648,36,321,1502,918,356,1696,116,8480,579,321,4396,7276,2914,5950,405,1386,684,303,144,133,3825,1353,881,941,2179,2169,167,302,1551,378,409,101,285,315,519,179,527,214,587,625,323,739,1892,214,674,3125,1285,33,2774,228,132,281,442,310,2886,325,1471
156,1017,695,361,429,153,1269,960,447,442,248,391,173,695,744,34,437,211,55,521,192,423,20,657,266,72,302,429,44,295,248,70,295,3653,484,556,295,1617,3540,884,373,104,263,870,388,1515,454,1241,8080,1464,1950,4351,1505,4708,849,449,602,396,1598,162,4075,924,246,1183,97,157,2439,5687,1554,531,2034,659,1146,1036,301,246,133,1920,177,7378,72,2711,4049,141,715,44,348,1675,1010,406,1869,133,9409,651,357,4805,8016,3186,6641,436,1552,776,319,171,143,4224,1466,987,1057,2462,2424,201,337,1742,434,456,120,314,343,581,218,585,234,647,696,358,808,2077,239,747,3389,1459,40,3126,252,128,290,467,344,3165,360,1649
175,1139,749,376,491,163,1366,1045,493,477,281,434,172,798,782,34,456,208,63,574,209,423,24,727,302,81,315,471,47,317,271,80,301,3965,545,597,329,1749,3791,964,403,111,285,947,408,1609,475,1338,8739,1589,2168,4722,1645,5149,915,491,660,415,1781,192,4449,1015,263,1266,116,178,2654,6172,1706,557,2214,719,1235,1116,317,287,154,2113,181,8056,82,2978,4416,147,758,45,365,1774,1111,423,2072,154,10235,685,390,5272,8702,3416,7349,471,1715,852,364,175,172,4584,1598,1105,1166,2693,2638,241,361,1924,487,520,120,364,370,658,237,643,249,709,748,389,895,2266,275,814,3661,1600,43,3408,279,137,302,489,356,3484,390,1817
193,1178,803,395,539,154,1446,1109,484,527,312,481,188,863,793,39,498,215,70,613,223,448,30,776,316,90,339,517,51,341,299,81,324,4322,595,674,340,1918,4037,1042,425,107,303,998,438,1711,507,1435,9372,1701,2299,5057,1752,5520,1027,527,725,440,1887,207,4733,1095,281,1343,131,193,2848,6681,1860,588,2373,751,1302,1194,353,322,174,2241,196,8582,83,3225,4629,156,812,45,378,1884,1202,457,2178,168,10874,700,399,5638,9182,3723,7911,514,1845,879,392,197,189,4976,1746,1182,1286,2976,2904,232,402,2093,540,569,137,389,428,707,251,695,267,754,802,407,937,2437,283,875,3902,1674,47,3629,306,163,314,524,376,3804,427,1922
207,1194,864,425,559,169,1530,1169,509,586,307,506,174,935,827,39,528,243,66,636,240,489,35,837,321,90,393,540,63,367,318,85,354,4603,624,729,374,2058,4271,1072,455,114,321,1082,463,1825,558,1506,9983,1808,2390,5407,1870,5841,1118,556,767,507,1970,218,4993,1159,288,1405,132,195,3027,7098,1982,615,2534,804,1388,1266,369,336,187,2361,211,9085,87,3375,4944,170,851,49,417,1962,1220,497,2291,194,11545,734,431,5993,9725,3922,8341,567,1942,965,407,219,193,5374,1854,1283,1370,3177,3103,228,407,2202,553,596,140,411,439,755,267,718,290,819,860,435,1002,2545,283,942,4118,1783,53,3935,298,169,342,551,415,4047,461,2057
211,1295,932,437,610,190,1612,1206,540,621,306,525,166,931,910,41,556,255,67,639,266,504,35,873,344,96,424,589,74,365,329,105,363,4877,653,743,424,2162,4464,1135,471,132,344,1107,495,1953,565,1599,10479,1923,2511,5660,1928,6121,1177,580,780,521,2055,240,5339,1221,309,1495,140,208,3198,7430,2051,633,2625,863,1406,1335,360,358,208,2527,229,9577,93,3479,5162,179,873,48,430,2113,1303,545,2436,210,12053,791,447,6338,10122,4111,8715,593,2053,1022,439,229,202,5666,1981,1348,1454,3375,3255,247,432,2308,585,626,157,436,467,788,295,736,314,868,888,440,1029,2707,300,998,4373,1892,52,4117,322,172,354,601,429,4308,480,2166
219,1380,1006,454,637,218,1651,1267,566,645,302,540,173,995,936,42,597,258,73,647,264,542,37,930,379,101,449,618,72,376,340,113,381,5136,665,803,452,2267,4745,1186,489,136,358,1136,531,2028,588,1705,10816,1999,2611,5940,2058,6448,1227,596,774,550,2178,231,5603,1276,323,1560,150,211,3304,7817,2108,657,2733,908,1450,1395,389,351,209,2639,240,9920,100,3644,5344,183,916,49,436,2218,1404,572,2531,200,12541,835,465,6633,10567,4346,9182,592,2081,1030,464,224,230,5806,2048,1382,1507,3449,3362,254,462,2406,602,651,157,462,492,842,312,780,330,918,916,470,1077,2793,315,1037,4639,1962,51,4318,340,177,370,635,439,4498,506,2323
229,1418,1032,474,673,226,1748,1327,577,671,330,564,176,1055,971,43,619,258,70,693,270,580,40,944,372,108,482,661,72,392,360,118,374,5302,682,814,477,2347,4963,1267,497,143,367,1204,555,2112,605,1774,11064,2040,2735,6153,2150,6652,1268,612,821,575,2256,243,5831,1330,302,1597,144,215,3372,8108,2229,691,2859,916,1508,1422,411,354,210,2786,251,10250,111,3743,5518,195,965,50,466,2341,1446,600,2591,180,13038,887,497,6847,11023,4479,9558,633,2193,1050,460,232,231,5978,2142,1430,1537,3546,3507,263,489,2502,612,652,146,472,518,852,316,819,328,932,972,480,1128,2954,319,1095,4810,2058,53,4435,355,177,405,689,467,4670,526,2414
231,1499,1039,494,675,238,1796,1355,616,689,348,576,197,1084,1008,42,652,267,72,710,270,621,47,959,387,104,500,672,69,404,386,122,364,5517,698,849,476,2391,5089,1310,519,137,400,1216,572,2175,627,1826,11531,2092,2776,6397,2217,6887,1305,620,833,592,2366,249,5977,1340,313,1663,139,225,3456,8385,2328,708,2956,956,1558,1425,446,372,225,2845,249,10638,109,3842,5703,223,1008,54,489,2428,1448,622,2650,188,13416,926,523,7054,11266,4623,9843,635,2259,1097,463,241,231,6194,2191,1451,1589,3627,3651,262,502,2583,612,667,153,473,545,852,327,832,330,942,1009,519,1157,3050,334,1141,4978,2129,58,4528,363,186,426,696,474,4865,556,2452
228,1576,1060,508,685,237,1859,1394,653,684,355,585,204,1122,1028,49,669,286,77,706,276,647,49,959,395,109,511,697,67,437,394,133,381,5602,731,862,473,2458,5204,1331,522,140,400,1262,583,2229,623,1866,11953,2187,2885,6588,2278,7032,1316,649,865,615,2445,252,6178,1355,331,1752,128,230,3558,8509,2405,734,3013,980,1607,1506,462,389,230,2885,253,10883,120,3922,5851,221,1019,55,496,2459,1460,639,2706,197,13830,941,539,7225,11506,4753,10075,646,2310,1105,485,232,236,6365,2235,1502,1681,3733,3727,259,504,2616,635,692,174,488,561,897,333,850,341,1005,1038,520,1183,3140,359,1178,5142,2175,60,4689,354,193,431,705,498,5003,564,2518
248,1599,1107,507,693,233,1890,1430,678,697,373,606,208,1130,1026,50,684,295,72,734,298,662,51,1012,401,99,522,727,68,435,409,143,396,5728,754,869,500,2458,5316,1370,527,142,396,1292,596,2275,646,1917,12204,2264,2959,6710,2342,7235,1345,653,874,627,2461,259,6340,1387,333,1834,133,241,3607,8690,2446,764,3044,961,1648,1578,437,422,243,2945,256,11177,128,4004,6008,238,1034,56,503,2540,1464,664,2780,201,14204,947,557,7393,11721,4925,10405,648,2322,1134,508,255,233,6424,2280,1559,1698,3786,3819,256,516,2677,657,731,167,514,564,911,320,863,355,1019,1061,525,1236,3206,359,1199,5223,2205,62,4770,370,190,436,729,502,5128,599,2608
260,1645,1112,508,692,231,1962,1419,703,729,396,622,223,1111,1065,48,695,304,74,748,316,659,43,1031,421,90,528,733,67,446,404,145,405,5847,764,859,520,2503,5372,1398,548,148,388,1284,643,2342,664,1946,12475,2333,3075,6875,2417,7343,1358,640,903,659,2469,256,6494,1384,330,1876,137,251,3727,8883,2497,785,3099,1018,1693,1598,469,432,255,3058,272,11378,130,4057,6080,250,1096,65,514,2613,1497,678,2832,200,14614,996,577,7589,11979,5027,10567,668,2372,1149,498,254,240,6557,2311,1607,1721,3855,3920,257,527,2743,678,763,158,527,551,937,350,922,368,1039,1105,568,1247,3305,369,1240,5336,2265,66,4875,361,197,443,750,510,5152,602,2652
261,1648,1156,508,726,235,1967,1475,733,724,419,647,238,1142,1094,50,670,303,80,798,310,664,47,1057,412,89,540,743,68,459,407,128,416,5916,768,869,504,2591,5524,1450,568,166,391,1310,663,2400,678,2004,12719,2450,3136,6944,2485,7471,1388,640,913,660,2545,269,6605,1422,328,1877,140,253,3773,9072,2537,797,3156,1034,1720,1614,475,425,258,3129,274,11659,137,4104,6131,260,1127,64,522,2661,1542,665,2831,197,14906,1022,584,7746,12216,5141,10749,691,2456,1176,506,266,237,6672,2318,1621,1749,3973,4065,263,534,2782,672,763,154,516,549,929,357,914,377,1052,1101,583,1290,3309,351,1282,5481,2293,74,5011,400,191,441,738,518,5159,618,2688
248,1670,1167,511,735,244,2003,1503,761,730,418,658,245,1171,1124,48,667,307,81,829,304,660,41,1064,412,93,560,739,70,479,402,134,427,6023,769,876,503,2601,5628,1488,598,169,397,1318,653,2395,683,2044,12923,2469,3120,7098,2531,7563,1415,655,936,650,2586,267,6628,1455,334,1846,127,269,3844,9246,2556,827,3214,1063,1738,1555,494,415,261,3151,284,11748,125,4164,6268,250,1161,65,552,2764,1568,688,2881,214,15187,1046,585,7975,12578,5136,10968,709,2518,1186,505,261,246,6814,2343,1652,1800,4030,4090,253,554,2842,693,763,167,523,542,943,356,919,380,1068,1089,589,1338,3304,367,1258,5574,2362,73,5167,396,188,435,728,522,5193,630,2747
