soc10,isco08
111011,1112
111011,1113
111011,1120
111021,1112
111021,1114
111021,1120
111021,1343
111021,1346
111021,1420
111021,5221
111031,1111
111031,1113
112011,1222
112021,1221
112022,1221
112031,1114
112031,1219
112031,1222
113011,1219
113021,1330
113031,1211
113031,1346
113051,1321
113061,1219
113071,1324
113111,1212
113121,1212
113131,1212
119013,1311
119013,1312
119021,1323
119021,7111
119031,1341
119032,1345
119033,1345
119039,1345
119041,1223
119051,1412
119061,1219
119071,1431
119081,1411
119111,1342
119111,1343
119121,1223
119131,1219
119141,3334
119151,1344
119161,1112
119199,1114
119199,1213
119199,1219
119199,1322
119199,1349
119199,1431
119199,1439
131011,3339
131021,3323
131022,3323
131023,3323
131031,3315
131032,3315
131041,3351
131041,3353
131041,3354
131051,3339
131071,2423
131071,3333
131074,3333
131075,2423
131081,2421
131111,2421
131121,3332
131131,4214
131141,2423
131151,2356
131151,2424
131161,2431
131199,2422
131199,3339
132011,2411
132021,3315
132031,2411
132041,2413
132051,2412
132051,2413
132052,2412
132053,3321
132061,2413
132071,3312
132072,3312
132081,3352
132082,2411
132099,3339
151111,2511
151121,2511
151122,2529
151131,2514
151132,2512
151133,2512
151134,2513
151134,3514
151141,2521
151142,2522
151142,3514
151143,2523
151151,3512
151152,3513
151199,2519
151199,2529
152011,2120
152021,2120
152031,2120
152041,2120
152091,3314
152099,3314
171011,2161
171012,2162
171021,2165
171022,2165
172011,2144
172021,2144
172031,2149
172041,2145
172051,2142
172061,2152
172071,2151
172072,2153
172072,2152
172081,2143
172111,2149
172112,2141
172121,2144
172131,2146
172131,2149
172141,2144
172151,2146
172161,2149
172171,2146
172199,2149
173011,3118
173012,3118
173013,3118
173019,3118
173021,3115
173022,3112
173023,3113
173023,3114
173023,3155
173023,3522
173024,3113
173024,3115
173025,3119
173026,3119
173027,3115
173029,3115
173029,3116
173029,3117
173029,3119
173031,3112
191011,2131
191012,2131
191013,2131
191013,2132
191021,2131
191022,2131
191023,2131
191029,2131
191031,2133
191032,2132
191041,2131
191042,2131
191099,2131
192011,2111
192012,2111
192021,2112
192031,2113
192032,2113
192032,2146
192041,2133
192042,2114
192043,2114
192099,2111
192099,2112
192099,2113
192099,2114
193011,2631
193022,2120
193031,2634
193032,2634
193039,2634
193041,2632
193051,2164
193091,2632
193092,2632
193093,2633
193094,2633
193099,2633
193099,2643
194011,3142
194021,3141
194031,3111
194041,3111
194041,3117
194051,3119
194061,3314
194091,3141
194092,3119
194093,3143
194099,3111
194099,3119
211011,2635
211012,2359
211012,2423
211013,2635
211014,2635
211015,2635
211019,2635
211021,2635
211022,2635
211023,2635
211029,2635
211091,2263
211092,2635
211093,3412
211094,3253
211099,2635
212011,2636
212021,2636
212099,3413
231011,2611
231012,3411
231021,2612
231022,2619
231023,2612
232011,3411
232091,3343
232093,3411
232099,3411
251011,2310
251021,2310
251022,2310
251031,2310
251032,2310
251041,2310
251042,2310
251043,2310
251051,2310
251052,2310
251053,2310
251054,2310
251061,2310
251062,2310
251063,2310
251064,2310
251065,2310
251066,2310
251067,2310
251069,2310
251071,2310
251072,2310
251081,2310
251082,2310
251111,2310
251112,2310
251113,2310
251121,2310
251122,2310
251123,2310
251124,2310
251125,2310
251126,2310
251191,2310
251192,2310
251193,2310
251194,2320
251199,2310
252011,2342
252012,2342
252021,2341
252022,2341
252023,2320
252031,2330
252032,2320
252051,2352
252052,2352
252053,2352
252054,2352
252059,2352
253011,2353
253021,2353
253021,2354
253021,2355
253021,3422
253021,3423
253021,5165
253099,2359
253099,2353
253099,2355
254011,2621
254012,2621
254013,3433
254021,2622
254031,3433
254031,4411
259011,2622
259021,2132
259031,2351
259041,5312
259099,2359
271011,2654
271012,2651
271012,3433
271012,7314
271012,7317
271012,7319
271013,2651
271013,3118
271014,2166
271019,3435
271021,2163
271022,2163
271023,7549
271024,2166
271025,3432
271026,3432
271027,3432
271029,2163
272011,2655
272012,2654
272021,3421
272022,3422
272023,3422
272031,2653
272032,2653
272041,2652
272042,2652
272099,2659
272099,3435
272099,5161
273011,2656
273012,2656
273021,2656
273022,2642
273031,2432
273041,2641
273041,2642
273042,2641
273043,2641
273043,2431
273091,2643
273099,3435
274011,3521
274012,3521
274013,3521
274014,3521
274021,3431
274031,3521
274032,2654
274099,3435
274099,3521
291011,2269
291021,2261
291022,2261
291023,2261
291024,2261
291029,2261
291031,2265
291041,2267
291051,2262
291061,2212
291062,2211
291063,2211
291064,2212
291065,2211
291066,2212
291067,2212
291069,2211
291069,2212
291071,2240
291081,2269
291122,2269
291123,2264
291124,3211
291125,2269
291126,3259
291127,2266
291128,2264
291129,2269
291131,2250
291141,2221
291151,2221
291161,2222
291171,2221
291181,2266
291199,2230
291199,2269
291199,3255
292011,3212
292012,3212
292021,3251
292031,3259
292032,3211
292033,3211
292034,3211
292035,3211
292041,3258
292051,3259
292052,3213
292053,3259
292054,3259
292056,3240
292057,3256
292061,3221
292071,3252
292081,3254
292091,3214
292092,3214
292099,3259
299011,2263
299012,3257
299091,3423
299092,2269
299099,3222
299099,3230
299099,3259
311011,5322
311013,5321
311014,5321
311015,5329
312011,3259
312012,5329
312021,3255
312022,5329
319011,3255
319091,3251
319091,5329
319092,3256
319093,5329
319094,3344
319095,5329
319096,3240
319096,5164
319097,5329
319099,3259
319099,5329
331011,5413
331012,3351
331012,3355
331012,5412
331021,3112
331021,3119
331021,5411
331099,5414
331099,5419
332011,5411
332021,3112
332021,3119
332022,3119
333011,3411
333012,5413
333021,3355
333031,5419
333041,5419
333051,3351
333051,5412
333052,5412
339011,5419
339021,3411
339031,3411
339031,5414
339032,5414
339091,5419
339092,5419
339093,5414
339099,5419
351011,3434
351012,3434
351012,5120
352011,9411
352012,5120
352013,5120
352014,5120
352015,5120
352015,9411
352019,5120
352021,9412
353011,5132
353021,5246
353022,5246
353031,5131
353041,5212
353041,5131
359011,5246
359011,9412
359021,9412
359031,5169
359099,9412
371011,5151
371011,5152
371012,6113
371012,7544
372011,5153
372011,9112
372011,9123
372012,9111
372012,9112
372019,7133
372019,9129
372021,7544
373011,9214
373012,7544
373013,6113
373019,9214
373019,9613
373019,9622
391011,4212
391012,4212
391021,3423
391021,4414
391021,5113
391021,5141
391021,5142
391021,5162
391021,5164
391021,5169
391021,5311
391021,5322
392011,5164
392021,5164
393011,4212
393012,4212
393019,4212
393021,9629
393031,9629
393091,8343
393091,9629
393092,3435
393093,9629
393099,3435
394011,5163
394021,5163
394031,5163
395011,5141
395012,5141
395012,5142
395091,5142
395092,5142
395093,5142
395094,5142
396011,9621
396012,4224
397011,5113
397012,5113
399011,5311
399021,5322
399021,4414
399021,5162
399031,3423
399032,5169
399041,5169
399099,5162
