Radetiketter;110;210;310;111;112;121;122;123;124;125;129;131;132;133;134;135;136;137;138;141;142;149;151;152;153;154;159;161;171;172;173;174;179;211;212;213;214;216;217;218;221;222;223;224;225;226;227;228;231;232;233;234;235;241;242;243;251;261;262;264;265;266;267;311;312;315;321;323;324;325;331;332;333;334;335;336;341;342;343;344;345;351;352;411;421;422;432;441;442;443;511;512;513;514;515;516;522;523;524;531;532;533;534;535;541;611;612;613;621;622;711;712;713;721;722;723;731;732;741;742;752;753;761;811;812;813;814;815;816;817;818;819;821;831;832;833;834;835;911;912;921;931;932;933;941;952;961;962;***;NULL;Totalsumma
110;1059;;71;;;;0;21;;;0;;;;;;0;0;;;;;;;;;0;;;;;;;;;;0;;;;0;;;;;;;;;0;0;;0;;19;;;;;;;;;0;;0;;;;;;;;0;0;;;;;;;0;;0;;0;0;;;;;;;;;;;;;;0;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;1170
210;;623;101;;;;;14;;;0;;;;0;;;;;;;;;;;;0;;;;;;0;;;;0;;;;;;;;;;;;;;;;13;;0;;0;;;;;;;0;0;0;;;;;0;0;;;0;;;;;0;;0;0;0;;;0;;;;;;;;;;0;;0;;;;0;;0;;;;;;;0;0;;;;;;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;751
310;;;4508;;;;;13;;;0;;;;0;;;;;;;;;;;;0;;;;;0;;;;0;13;;;;0;15;;;;0;0;;0;0;0;0;11;0;0;0;0;0;;0;;0;;27;0;0;0;;;;0;16;0;0;40;28;0;0;0;13;;0;0;22;0;0;29;;0;;0;0;0;0;0;0;37;0;0;11;0;0;31;;72;0;0;0;;;36;13;0;0;0;11;0;0;0;35;0;;0;0;0;0;0;;0;0;0;0;13;0;0;15;0;;;0;;0;0;0;0;;0;0;;24;5033
111;;;0;3036;37;14;0;33;0;0;24;21;0;;11;0;0;0;;16;0;0;0;11;12;0;50;0;;;0;0;0;;;;0;0;;0;0;0;;;;0;;0;0;;0;0;0;13;65;0;0;0;;;0;0;0;0;;;;;;;0;0;0;0;0;;0;0;;0;;;;0;;0;;;;0;;;;;;;0;;0;;;;0;;0;0;0;0;0;;;;0;;;0;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;22;3365
112;;;0;27;16648;229;60;36;62;422;160;167;111;32;64;49;318;255;25;0;0;17;31;23;13;0;47;51;29;46;277;39;52;0;0;0;65;0;18;0;0;0;0;0;0;;0;0;0;0;0;0;0;97;130;42;61;16;0;25;15;0;;86;35;0;0;;0;;21;202;34;13;0;0;0;0;0;0;0;15;0;47;;11;11;;;0;;11;0;;0;0;84;0;0;;0;0;17;;0;24;0;11;0;;17;12;14;38;0;21;0;0;11;0;0;0;0;0;0;;0;0;;0;0;0;24;0;11;11;13;;0;0;0;0;;0;0;;;0;;245;20798
121;;;;24;119;12879;50;73;0;77;92;23;0;0;12;0;17;19;0;0;;0;0;0;0;0;29;21;0;0;11;0;0;;0;0;15;0;0;;;0;0;;;;;0;0;0;0;0;;521;87;17;22;15;;;;;;25;0;;0;;;;354;55;11;13;0;0;0;0;0;0;;0;0;202;;0;0;;;0;;;0;0;;;19;;0;;0;;0;;;0;0;0;0;;0;0;0;;;;;;0;;;;0;;;;;0;;;;;0;;;0;0;;;;;;0;;;;;0;;204;15006
122;;;;12;33;45;5891;57;0;38;61;14;14;0;0;0;18;42;;0;0;0;15;0;12;;30;0;0;0;0;0;0;0;;0;12;;0;0;;0;;0;;;0;0;;;;0;0;24;341;14;22;0;0;0;;11;;25;16;;0;;;;19;31;18;17;15;;0;0;0;0;;0;0;72;;0;20;;0;;0;0;0;0;0;0;22;;0;;0;0;15;;0;0;0;0;0;;0;;0;;0;0;;0;0;;;;;;;;;0;0;;;0;0;0;0;0;0;;0;;;;;;0;;;;;69;7045
123;;;46;58;56;167;44;7708;15;83;121;28;26;17;44;14;94;88;;15;;0;24;26;20;;126;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;;;;0;0;0;0;;13;78;348;0;36;26;0;;;0;0;61;25;0;0;;;;14;42;12;19;41;0;;0;0;0;;0;;49;;0;12;;;;0;0;0;;0;;0;;;;0;0;0;;0;0;;;;;0;0;;0;;0;;0;0;0;0;;;;;;0;;;;;0;0;0;;;0;;0;;;;0;;0;;;;;68;9738
124;;;0;0;28;14;0;18;2755;70;26;0;0;0;0;0;0;0;;0;;0;0;0;0;;14;0;;0;0;;0;;0;0;11;;0;0;0;;;;;;;;0;;;;;12;50;206;25;0;0;11;0;;;0;0;;;;;;0;19;0;12;0;0;0;;0;0;;0;0;16;;0;0;;;;;;0;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;0;;;;;50;3337
125;;;;0;312;76;34;92;74;21564;190;87;81;46;44;16;59;102;;0;;0;13;0;0;;15;21;0;0;104;0;44;;0;16;92;0;23;0;0;0;0;0;;;0;0;;;0;11;0;79;234;295;214;0;0;13;0;0;;90;12;0;0;;;;34;1231;45;34;14;;0;13;0;0;;61;;118;;44;23;;0;;0;0;0;0;0;0;199;0;34;0;0;0;11;;0;0;0;0;0;;0;;0;0;0;0;0;;;0;0;;;0;0;;0;;0;;;0;0;;0;0;0;;0;;;0;0;;0;0;0;0;;319;26233
