year;quarter;U_org;U_sa;tot_org;tot_sa;u_org;u_sa;u_trend
01;1;282,7;269,5;4 553,8;4 607,4;6,2;5,8;5,79
01;2;291,1;262,8;4 662,5;4 606,4;6,2;5,7;5,8
01;3;254,3;269,8;4 671,3;4 619,4;5,4;5,8;5,84
01;4;251,7;274,3;4 581,9;4 628,6;5,5;5,9;5,86
02;1;282,7;270,4;4 582,1;4 636,7;6,2;5,8;5,85
02;2;297,1;267,5;4 682,5;4 625,5;6,3;5,8;5,87
02;3;264,8;280,4;4 687,1;4 635,2;5,6;6,1;5,98
02;4;262,6;285,9;4 601,5;4 648,1;5,7;6,2;6,13
03;1;302,9;291,4;4 594,3;4 650,8;6,6;6,3;6,25
03;2;327,2;294,9;4 710,9;4 652,7;6,9;6,3;6,4
03;3;291,0;307,5;4 705,2;4 652,9;6,2;6,6;6,66
03;4;304,2;328,8;4 616,8;4 664,4;6,6;7,0;7,01
04;1;354,6;343,5;4 618,9;4 677,2;7,7;7,3;7,28
04;2;380,6;345,3;4 731,6;4 673,2;8,0;7,4;7,4
04;3;330,6;348,6;4 739,0;4 685,6;7,0;7,4;7,4
04;4;317,5;343,7;4 626,3;4 674,8;6,9;7,4;7,4
05;1;355,2;343,6;4 621,4;4 681,4;7,7;7,3;7,51
05;2;410,5;372,2;4 771,1;4 712,3;8,6;7,9;7,67
05;3;344,5;364,1;4 763,0;4 708,6;7,2;7,7;7,74
05;4;333,9;361,4;4 685,4;4 736,3;7,1;7,6;7,66
06;1;367,5;354,9;4 677,1;4 737,9;7,9;7,5;7,49
06;2;386,5;346,0;4 812,4;4 753,7;8,0;7,3;7,22
06;3;306,9;328,0;4 837,2;4 781,6;6,3;6,9;6,89
06;4;284,4;313,3;4 736,5;4 788,8;6,0;6,5;6,57
07;1;322,7;308,7;4 755,1;4 815,9;6,8;6,4;6,31
07;2;334,5;292,7;4 877,6;4 818,5;6,9;6,1;6,13
07;3;268,6;290,5;4 907,1;4 850,8;5,5;6,0;6,03
07;4;264,4;294,7;4 813,0;4 867,9;5,5;6,1;5,95
08;1;301,7;286,2;4 821,8;4 881,4;6,3;5,9;5,88
08;2;338,7;296,4;4 962,5;4 902,5;6,8;6,0;5,92
08;3;280,1;303,2;4 954,0;4 897,8;5,7;6,2;6,21
08;4;298,3;329,2;4 852,3;4 908,8;6,1;6,7;6,75
09;1;380,1;363,7;4 846,1;4 905,0;7,8;7,4;7,41
09;2;454,4;411,8;4 979,1;4 916,7;9,1;8,4;8,09
09;3;399,0;422,6;4 946,8;4 891,8;8,1;8,6;8,58
09;4;401,7;433,0;4 860,5;4 918,3;8,3;8,8;8,86
10;1;456,2;439,4;4 868,8;4 925,1;9,4;8,9;8,92
10;2;473,8;431,0;5 007,2;4 943,2;9,5;8,7;8,76
10;3;397,5;422,0;5 009,6;4 956,5;7,9;8,5;8,45
10;4;370,7;402,2;4 907,4;4 964,2;7,6;8,1;8,12
11;1;410,9;393,5;4 944,2;4 999,4;8,3;7,9;7,88
11;2;433,6;391,0;5 079,0;5 014,7;8,5;7,8;7,76
11;3;357,9;383,4;5 065,6;5 013,6;7,1;7,6;7,72
11;4;359,3;391,2;4 976,4;5 033,3;7,2;7,8;7,69
12;1;406,2;387,6;4 976,7;5 030,1;8,2;7,7;7,73
12;2;439,6;396,9;5 117,6;5 054,6;8,6;7,9;7,88
12;3;383,4;410,8;5 118,7;5 068,0;7,5;8,1;8,04
12;4;382,9;414,6;5 027,5;5 083,6;7,6;8,2;8,13
13;1;433,1;412,9;5 041,6;5 093,8;8,6;8,1;8,1
13;2;451,6;409,5;5 167,8;5 105,6;8,7;8,0;8,03
13;3;380,2;409,1;5 166,5;5 117,9;7,4;8,0;7,99
13;4;378,5;410,0;5 086,2;5 142,0;7,4;8,0;8,01
14;1;436,6;415,2;5 096,1;5 146,3;8,6;8,1;8,01
14;2;453,6;412,5;5 232,1;5 171,0;8,7;8,0;7,97
14;3;379,2;408,6;5 257,8;5 211,4;7,2;7,8;7,9
14;4;374,8;405,9;5 147,5;5 202,8;7,3;7,8;7,84
15;1;424,9;403,2;5 164,8;5 213,9;8,2;7,7;7,72
15;2;437,7;398,5;5 274,3;5 213,5;8,3;7,6;7,49
15;3;344,8;372,9;5 269,2;5 224,2;6,5;7,1;7,24
15;4;340,5;371,1;5 187,8;5 242,3;6,6;7,1;7,09
16;1;397,4;375,7;5 208,8;5 255,0;7,6;7,1;7,03
16;2;399,4;362,8;5 333,9;5 274,6;7,5;6,9;6,96
16;3;334,5;360,1;5 308,1;5 264,0;6,3;6,8;6,89
16;4;334,6;365,6;5 255,5;5 311,8;6,4;6,9;6,82
17;1;378,2;356,7;5 302,6;5 346,8;7,1;6,7;6,77
17;2;394,4;360,7;5 428,3;5 370,0;7,3;6,7;6,72
17;3;339,3;361,9;5 443,2;5 399,4;6,2;6,7;6,64
17;4;321,9;353,2;5 347,1;5 403,1;6,0;6,5;6,47
18;1;354,7;333,3;5 371,7;5 413,8;6,6;6,2;6,31
18;2;376,0;344,8;5 496,1;5 440,2;6,8;6,3;6,26
18;3;329,2;349,1;5 490,8;5 446,0;6,0;6,4;6,33
18;4;317,8;349,6;5 408,7;5 464,1;5,9;6,4;6,46
19;1;393,3;372,1;5 445,8;5 487,9;7,2;6,8;6,62
19;2;389,2;358,7;5 534,7;5 480,0;7,0;6,5;6,77
19;3;364,2;382,9;5 563,0;5 516,9;6,5;6,9;6,85
19;4;344,2;376,7;5 474,0;5 529,2;6,3;6,8;6,86
